img_name,bnd_bx_count
image1.jpg,1
image10.jpg,2
image100.jpg,2
image101.jpg,1
image102.jpg,2
image103.jpg,1
image104.jpg,1
image105.jpg,1
image106.jpg,2
image107.jpg,2
image108.jpg,1
image109.jpg,1
image11.jpg,2
image110.jpg,2
image111.jpg,2
image112.jpg,1
image113.jpg,1
image114.jpg,1
image115.jpg,1
image116.jpg,1
image117.jpg,1
image118.jpg,2
image119.jpg,1
image12.jpg,1
image120.jpg,1
image121.jpg,1
image122.jpg,1
image123.jpg,1
image124.jpg,1
image125.jpg,1
image126.jpg,1
image127.jpg,2
image128.jpg,1
image129.jpg,1
image13.jpg,1
image130.jpg,1
image131.jpg,1
image132.jpg,1
image133.jpg,2
image134.jpg,1
image135.jpg,1
image136.jpg,2
image137.jpg,2
image138.jpg,1
image139.jpg,2
image14.jpg,1
image140.jpg,1
image141.jpg,1
image142.jpg,2
image143.jpg,1
image144.jpg,2
image145.jpg,1
image146.jpg,2
image147.jpg,1
image148.jpg,1
image149.jpg,1
image15.jpg,1
image150.jpg,1
image151.jpg,1
image152.jpg,1
image154.jpg,1
image155.jpg,1
image156.jpg,1
image157.jpg,1
image158.jpg,1
image159.jpg,1
image16.jpg,2
image160.jpg,1
image161.jpg,1
image162.jpg,1
image163.jpg,1
image164.jpg,1
image165.jpg,1
image166.jpg,3
image167.jpg,1
image168.jpg,2
image169.jpg,1
image17.jpg,1
image170.jpg,1
image171.jpg,2
image172.jpg,2
image173.jpg,1
image174.jpg,1
image175.jpg,1
image176.jpg,1
image177.jpg,1
image178.jpg,2
image179.jpg,1
image18.jpg,3
image180.jpg,2
image181.jpg,1
image182.jpg,1
image183.jpg,1
image185.jpg,1
image186.jpg,1
image187.jpg,1
image188.jpg,2
image189.jpg,2
image19.jpg,1
image190.jpg,1
image191.jpg,2
image192.jpg,2
image193.jpg,2
image194.jpg,1
image2.jpg,2
image20.jpg,1
image21.jpg,2
image22.jpg,2
image23.jpg,2
image24.jpg,2
image25.jpg,1
image26.jpg,1
image27.jpg,1
image28.jpg,2
image29.jpg,2
image3.jpg,2
image30.jpg,2
image31.jpg,0
image32.jpg,1
image33.jpg,1
image34.jpg,1
image35.jpg,1
image36.jpg,2
image37.jpg,1
image38.jpg,1
image39.jpg,2
image4.jpg,3
image40.jpg,1
image41.jpg,2
image42.jpg,1
image43.jpg,1
image44.jpg,1
image45.jpg,2
image46.jpg,1
image47.jpg,1
image48.jpg,2
image49.jpg,1
image5.jpg,1
image50.jpg,1
image51.jpg,1
image52.jpg,1
image53.jpg,1
image54.jpg,1
image55.jpg,1
image56.jpg,2
image57.jpg,1
image58.jpg,2
image59.jpg,1
image6.jpg,1
image60.jpg,1
image61.jpg,1
image62.jpg,2
image63.jpg,1
image64.jpg,1
image65.jpg,1
image66.jpg,1
image67.jpg,2
image68.jpg,2
image69.jpg,1
image7.jpg,1
image70.jpg,4
image71.jpg,1
image72.jpg,1
image73.jpg,3
image74.jpg,1
image75.jpg,2
image76.jpg,2
image77.jpg,1
image78.jpg,2
image79.jpg,2
image8.jpg,1
image80.jpg,2
image81.jpg,1
image82.jpg,1
image83.jpg,1
image84.jpg,1
image85.jpg,2
image86.jpg,1
image87.jpg,1
image88.jpg,1
image89.jpg,1
image9.jpg,1
image90.jpg,2
image91.jpg,1
image92.jpg,2
image93.jpg,1
image94.jpg,1
image95.jpg,1
image96.jpg,2
image97.jpg,3
image98.jpg,1
image99.jpg,1
